Series Description,"Bank credit, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Securities in bank credit, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Treasury and agency securities, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Other securities, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Loans and leases in bank credit, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Commercial and industrial loans, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Real estate loans, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Real estate loans: Residential real estate loans, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Real estate loans: Residential real estate loans: Revolving home equity loans, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Real estate loans: Residential real estate loans: Closed-end residential loans, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Real estate loans: Commercial real estate loans, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Consumer loans, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Consumer loans: Credit cards and other revolving plans, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Consumer loans: Other consumer loans, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Other loans and leases: All other loans and leases, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","LESS: Allowance for loan and lease losses, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Cash assets, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)",Total fed funds sold and securities purcased under agreements to resell at all banks,"Loans to commercial banks, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Other assets, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Total assets, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Deposits, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Large time deposits, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Other deposits, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Borrowings, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Other liabilities, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)","Total liabilities, all commercial banks, seasonally adjusted, annual growth rate (break adjusted)"
Unit:,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year,Percent:_Per_Year
Multiplier:,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Currency:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unique Identifier: ,H8/H8/B1001NCBCQG,H8/H8/B1002NCBCQG,H8/H8/B1003NCBCQG,H8/H8/B1011NCBCQG,H8/H8/B1020NCBCQG,H8/H8/B1023NCBCQG,H8/H8/B1026NCBCQG,H8/H8/B1221NCBCQG,H8/H8/B1027NCBCQG,H8/H8/B1220NCBCQG,H8/H8/B3219NCBCQG,H8/H8/B1029NCBCQG,H8/H8/B1247NCBCQG,H8/H8/B3248NCBCQG,H8/H8/B3305NCBCQG,H8/H8/B1043NCBCQG,H8/H8/B1048NCBCQG,H8/H8/B3092NCBCQG,H8/H8/B1047NCBCQG,H8/H8/B3053NCBCQG,H8/H8/B1151NCBCQG,H8/H8/B1058NCBCQG,H8/H8/B1072NCBCQG,H8/H8/B1110NCBCQG,H8/H8/B3094NCBCQG,H8/H8/B3095NCBCQG,H8/H8/B1152NCBCQG
Time Period,B1001NCBCQG,B1002NCBCQG,B1003NCBCQG,B1011NCBCQG,B1020NCBCQG,B1023NCBCQG,B1026NCBCQG,B1221NCBCQG,B1027NCBCQG,B1220NCBCQG,B3219NCBCQG,B1029NCBCQG,B1247NCBCQG,B3248NCBCQG,B3305NCBCQG,B1043NCBCQG,B1048NCBCQG,B3092NCBCQG,B1047NCBCQG,B3053NCBCQG,B1151NCBCQG,B1058NCBCQG,B1072NCBCQG,B1110NCBCQG,B3094NCBCQG,B3095NCBCQG,B1152NCBCQG
1947Q2,-2.1,-9.1,-7.6,-20.8,16.4,23.2,31.1,,,,,,,,,,,,,,,,,,,,
1947Q3,5.4,-9.3,-4.7,-65.9,44.5,27.4,28.8,,,,,,,,,,,,,,,,,,,,
1947Q4,0,-1.8,-2.4,5.3,4.2,25.6,23.5,,,,,,,,,,,,,,,,,,,,
1948Q1,-3.6,-11,-11.9,5.2,13.2,19.3,25.4,,,,,,,,,,,,,,,,,,,,
1948Q2,-1,-11.7,-13.5,5.1,21.6,13.8,17.9,,,,,,,,,,,,,,,,,,,,
